2023-12-19 17:12:254 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:591 INFO  ManageBrowser :32 - Chrome Browser Launch .....
2023-12-19 17:12:476 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:485 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:492 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:500 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:509 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:517 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:525 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
2023-12-19 17:12:533 INFO  ManageBrowser :35 - List of ProductList: [[[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a], [[ChromeDriver: chrome on windows (81b33eacf17e559c10e344563710477a)] -> xpath: //h4/a]]
